2017-11-18 20:39:42,723 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOut, BodyType: byte[], Body: {"id":"123 ","name":"ABC","type":"senior"}]
2017-11-18 20:39:42,723 | INFO | CamelTestSupport.java 373 | ********************************************************************************
2017-11-18 20:39:42,724 | INFO | CamelTestSupport.java 374 | Testing done: marshalEmployeeJSON2XML(com.dhruvesh.route.xml2json.XML2JSONRouteTest)
2017-11-18 20:39:42,724 | INFO | CamelTestSupport.java 375 | Took: 0.087 seconds (87 millis)
2017-11-18 20:39:42,724 | INFO | CamelTestSupport.java 402 | ********************************************************************************
2017-11-18 20:39:42,724 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-2) is shutting down
2017-11-18 20:39:42,724 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 2 routes (timeout 10 seconds)
2017-11-18 20:39:42,725 | INFO | DefaultShutdownStrategy.java 669 | Route: route4 shutdown complete, was consuming from: direct://unMarshalEmployeejson2xml
2017-11-18 20:39:42,726 | INFO | DefaultShutdownStrategy.java 669 | Route: route3 shutdown complete, was consuming from: direct://marshalEmployeexml2json
2017-11-18 20:39:42,726 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2017-11-18 20:39:42,727 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-2) uptime 0.123 seconds
2017-11-18 20:39:42,728 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-2) is shutdown in 0.003 seconds
